zip_code,total,white,black,indigenous,asian,latino,other,multiracial,white_percent,year
92078,42906,26201,851,110,3598,10499,95,1451,0.6106605136810702,2010
92081,27404,16827,919,96,1866,6554,87,939,0.6140344475259086,2010
92082,19037,11360,113,981,480,5575,36,457,0.5967326784682461,2010
92083,36975,10947,1040,136,1142,22492,50,853,0.2960649087221095,2010
92084,47654,21513,1123,178,1339,22060,78,1113,0.4514416418348932,2010
92086,1573,1081,25,113,36,278,2,38,0.6872218690400509,2010
92091,1048,944,5,2,37,40,1,19,0.900763358778626,2010
92101,37095,22123,3313,204,2702,7450,104,1108,0.5963876533225502,2010
92102,43267,8160,4285,103,2472,27239,91,774,0.1885963898583215,2010
92103,31066,22977,807,107,1779,4388,79,866,0.7396188759415439,2010
92104,44414,20572,3868,190,2452,15568,132,1468,0.463187283289053,2010
92105,69813,8121,9441,167,12569,37720,133,1434,0.1163250397490438,2010
92106,19330,15367,503,69,608,2118,73,536,0.7949818934299017,2010
92107,28651,23393,470,117,703,2992,135,786,0.8164811001361209,2010
92108,18858,11377,1080,69,2107,3281,60,789,0.6032983349241701,2010
92109,45787,36530,575,123,1488,5551,180,1240,0.797824710070544,2010
92110,25341,16958,1199,76,1331,4618,119,940,0.6691922181445089,2010
92111,45096,19793,2420,171,8217,12509,126,1629,0.4389081071491928,2010
92113,56066,4932,7076,135,1730,41043,77,804,0.0879677522919416,2010
92114,65433,5687,14666,148,15287,26767,99,2050,0.0869133311937401,2010
92115,58560,24314,6068,171,8325,17338,166,1959,0.415198087431694,2010
92116,31680,17559,2440,119,1486,8816,94,1069,0.5542613636363637,2010
92117,51332,32065,1003,160,4674,11302,133,1797,0.6246590820540793,2010
92118,23575,17180,1401,145,838,3181,36,704,0.7287380699893955,2010
