"GEO_ID","P005001","P005002","P005003","P005004","P005005","P005006","P005007","P005008","P005009","P005010","P005011","P005012","P005013","P005014","P005015","P005016","P005017","NAME"
"id","Total","Total!!Not Hispanic or Latino","Total!!Not Hispanic or Latino!!White alone","Total!!Not Hispanic or Latino!!Black or African American alone","Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Total!!Not Hispanic or Latino!!Asian alone","Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Total!!Not Hispanic or Latino!!Some Other Race alone","Total!!Not Hispanic or Latino!!Two or More Races","Total!!Hispanic or Latino","Total!!Hispanic or Latino!!White alone","Total!!Hispanic or Latino!!Black or African American alone","Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Total!!Hispanic or Latino!!Asian alone","Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Total!!Hispanic or Latino!!Some Other Race alone","Total!!Hispanic or Latino!!Two or More Races","Geographic Area Name"
"8600000US90248","9947","5998","1127","1449","28","3051","67","30","246","3949","1674","51","30","44","12","1906","232","ZCTA5 90248"
"8600000US90249","26669","16621","3537","7930","44","4318","101","83","608","10048","4329","152","117","99","21","4747","583","ZCTA5 90249"
"8600000US90250","93193","43888","11205","22850","192","6382","1060","433","1766","49305","21869","855","424","186","57","23218","2696","ZCTA5 90250"
"8600000US90254","19506","17874","15780","216","28","1097","43","52","658","1632","1148","13","21","14","3","273","160","ZCTA5 90254"
"8600000US90255","75066","2104","1211","238","45","395","17","110","88","72962","38112","274","1013","88","13","30777","2685","ZCTA5 90255"
"8600000US90260","34924","14559","6496","2940","100","3780","331","144","768","20365","9200","265","209","145","20","9317","1209","ZCTA5 90260"
"8600000US90262","69745","9294","1539","6725","76","388","173","167","226","60451","25886","416","388","65","36","31509","2151","ZCTA5 90262"
"8600000US90263","1612","1398","1005","93","2","210","4","1","83","214","120","5","2","9","0","58","20","ZCTA5 90263"
"8600000US90265","18116","16817","15337","301","27","627","19","28","478","1299","808","21","7","14","0","343","106","ZCTA5 90265"
"8600000US90266","35135","32695","27873","282","44","2992","44","84","1376","2440","1813","8","15","31","5","325","243","ZCTA5 90266"
"8600000US90270","27372","696","498","46","24","61","14","28","25","26676","13736","116","184","26","6","11467","1141","ZCTA5 90270"
"8600000US90272","22986","21947","19881","165","20","1215","9","61","596","1039","801","8","11","13","0","111","95","ZCTA5 90272"
"8600000US90274","25209","23776","17523","335","26","4983","20","47","842","1433","1004","12","20","36","0","228","133","ZCTA5 90274"
"8600000US90275","41804","38242","23424","988","54","12047","39","92","1598","3562","2379","28","26","79","2","657","391","ZCTA5 90275"
"8600000US90277","35293","31175","25424","696","79","3491","57","157","1271","4118","2628","39","58","61","8","872","452","ZCTA5 90277"
"8600000US90278","40071","33067","24305","1220","101","5326","130","159","1826","7004","4285","50","81","102","15","1745","726","ZCTA5 90278"
"8600000US90280","94396","4954","3233","585","110","647","69","147","163","89442","44412","305","768","85","30","40477","3365","ZCTA5 90280"
"8600000US90290","6368","5956","5455","80","20","196","1","23","181","412","237","4","11","5","1","70","84","ZCTA5 90290"
"8600000US90291","28341","22673","18885","1415","93","1214","45","115","906","5668","2932","76","104","37","5","2127","387","ZCTA5 90291"
"8600000US90292","21576","19807","15917","1028","28","1969","30","70","765","1769","1132","25","30","31","3","385","163","ZCTA5 90292"
"8600000US90293","12132","10848","8396","675","23","1196","19","40","499","1284","824","17","12","15","2","260","154","ZCTA5 90293"
"8600000US90301","36568","14015","1177","11510","76","686","44","92","430","22553","10024","316","239","56","8","10827","1083","ZCTA5 90301"
"8600000US90302","29415","16800","1266","14297","67","345","65","105","655","12615","4725","409","118","26","9","6667","661","ZCTA5 90302"
"8600000US90303","26176","9980","351","8891","41","150","171","78","298","16196","6098","206","124","15","11","8975","767","ZCTA5 90303"
"8600000US90304","28210","2710","830","1116","37","314","236","53","124","25500","9921","102","226","25","10","14131","1085","ZCTA5 90304"
"8600000US90305","14853","13128","295","12247","32","108","25","61","360","1725","522","189","15","6","0","857","136","ZCTA5 90305"
"8600000US90401","6722","6049","4681","362","19","696","6","30","255","673","404","21","11","8","2","180","47","ZCTA5 90401"
"8600000US90402","12250","11702","10348","118","9","841","14","27","345","548","366","7","8","4","0","115","48","ZCTA5 90402"
"8600000US90403","24525","22735","19214","440","28","2044","20","96","893","1790","1184","21","11","17","3","375","179","ZCTA5 90403"
"8600000US90404","21360","16026","11216","1608","48","2265","39","69","781","5334","2740","81","93","32","0","2081","307","ZCTA5 90404"
"8600000US90405","27186","23718","19482","852","72","2223","39","96","954","3468","2121","32","42","33","3","998","239","ZCTA5 90405"
"8600000US90501","43180","25005","11107","2165","92","10075","281","130","1155","18175","7553","136","189","146","24","9086","1041","ZCTA5 90501"
"8600000US90502","18010","11569","3547","1227","69","5922","244","81","479","6441","2676","42","97","95","12","3113","406","ZCTA5 90502"
"8600000US90503","44383","39261","18291","1072","88","17857","95","196","1662","5122","3079","41","50","123","12","1352","465","ZCTA5 90503"
"8600000US90504","32102","25027","9946","1173","71","12085","160","121","1471","7075","3326","74","76","183","28","2600","788","ZCTA5 90504"
"8600000US90505","36678","32585","18179","760","67","11957","101","92","1429","4093","2530","32","43","105","5","892","486","ZCTA5 90505"
